Date,Open,High,Low,Close,Adj Close,Volume
7/13/2012,45.685001,46.540001,45.599998,46.465,40.355141,3690400
7/16/2012,46.215,46.919998,45.645,46.619999,40.489765,3599000
7/17/2012,47.09,47.715,46.165001,47.619999,41.358273,5095000
7/18/2012,47.424999,48.715,47.275002,48.349998,41.992271,5117400
7/19/2012,48.595001,49.314999,48.384998,49.125,42.665363,6149800
7/20/2012,48.735001,49.645,48.125,49.615002,43.090919,5496200
7/23/2012,48.314999,48.740002,47.115002,48.599998,42.209396,6470400
7/24/2012,48.645,48.950001,47.205002,47.75,41.471161,3716000
7/25/2012,48.244999,48.365002,47.105,47.845001,41.55368,3024400
7/26/2012,48.669998,49.290001,48.130001,48.709999,42.304935,4041800
7/27/2012,48.985001,50.735001,48.724998,50.505001,43.863903,4790200
7/30/2012,50.34,50.810001,49.215,49.779999,43.234238,3378400
7/31/2012,49.709999,49.950001,48.974998,49.005001,42.561146,3237800
8/1/2012,49.465,50.595001,48.52,50.224998,43.62072,4492600
8/2/2012,49.064999,49.564999,47.639999,48.060001,41.740406,4967400
8/3/2012,51.529999,54.375,51.07,53.375,46.356499,10517400
8/6/2012,53.485001,53.665001,52.755001,52.869999,45.917915,5040200
8/7/2012,52.865002,54.75,52.785,54.369999,47.220669,4976200
8/8/2012,53.709999,54.529999,53.705002,53.950001,46.855911,3798400
8/9/2012,53.764999,55.400002,53.715,54.705002,47.511627,4150800
8/10/2012,54.055,55.18,54,54.994999,47.7635,3002200
8/13/2012,55.450001,55.450001,54.41,54.650002,47.463867,2663200
8/14/2012,55.130001,55.555,54.855,55.174999,47.91983,3886600
8/15/2012,54.84,55.365002,54.485001,54.91,47.689659,2989200
8/16/2012,54.880001,55.540001,54.700001,55.494999,48.197742,3037200
8/17/2012,55.25,55.68,55.049999,55.595001,48.284592,2636600
8/20/2012,55.755001,55.779999,54.584999,54.785,47.581089,2584200
8/21/2012,55.139999,55.424999,54.134998,54.384998,47.2337,3073800
8/22/2012,54.275002,54.599998,53.549999,54.455002,47.294514,3105400
8/23/2012,54.375,54.59,53.220001,53.505001,46.46941,2864600
8/24/2012,53.48,54.59,53.285,54.455002,47.294514,4370400
8/27/2012,54.490002,54.98,54.080002,54.584999,47.407413,2816200
8/28/2012,54.619999,54.959999,54.02,54.41,47.255421,3514600
8/29/2012,54.439999,54.490002,53.735001,54.025002,46.921047,2580200
8/30/2012,53.724998,53.724998,52.724998,52.945,45.983055,2562800
8/31/2012,53.494999,54.305,53.049999,54.150002,47.029613,3420200
9/4/2012,54.130001,54.875,53.595001,54.66,47.472542,4144200
9/5/2012,54.540001,54.755001,54.224998,54.27,47.13382,3174200
9/6/2012,54.91,56.605,54.799999,56.205002,48.814388,4160800
9/7/2012,55.474998,56.639999,55.365002,56.439999,49.018475,4704400
9/10/2012,56.5,57.235001,56.044998,56.200001,48.810043,3535000
9/11/2012,56.404999,56.73,55.965,56.215,48.823074,3332600
9/12/2012,56.424999,56.970001,55.794998,56.490002,49.061905,3305000
9/13/2012,56.715,58.060001,55.900002,57.59,50.017262,3997000
9/14/2012,57.869999,59.845001,57.869999,58.810001,51.076851,3856600
9/17/2012,58.705002,59.115002,57.939999,58.200001,50.54705,2922200
9/18/2012,58.115002,58.41,57.285,57.939999,50.321251,2282400
9/19/2012,57.830002,57.895,56.75,56.785,49.318111,3288000
9/20/2012,56.455002,57.040001,55.744999,56.775002,49.309425,4148000
9/21/2012,57.285,57.369999,56.625,56.974998,49.483131,4015200
9/24/2012,56.299999,56.869999,56.080002,56.605,49.161793,2492600
9/25/2012,56.849998,57.205002,56.130001,56.209999,48.818733,3068400
9/26/2012,55.935001,56.040001,55.200001,55.299999,48.028397,2732400
9/27/2012,55.880001,56.884998,55.75,56.599998,49.157452,1953800
9/28/2012,56.299999,56.5,55.57,56.025002,48.658051,2295400
10/1/2012,56.494999,57.345001,56.455002,57.095001,49.587364,3422000
10/2/2012,57.395,57.639999,56.935001,57.57,49.999897,3617200
10/3/2012,57.415001,57.5,55.400002,55.540001,48.236828,4238000
10/4/2012,55.965,56.125,55.325001,55.709999,48.384472,4041200
10/5/2012,55.755001,56.200001,54.75,54.955002,47.728756,3295800
10/8/2012,54.43,54.985001,54.32,54.91,47.689659,2263000
10/9/2012,54.955002,55.900002,54.639999,55.525002,48.223801,2638800
10/10/2012,55.424999,55.674999,54.595001,54.75,47.550716,2658400
10/11/2012,55.205002,55.634998,54.799999,54.915001,47.694012,1995000
10/12/2012,54.985001,55.154999,53.935001,54.389999,47.238045,2558200
10/15/2012,54.330002,55.290001,53.880001,55.125,47.951336,2979000
10/16/2012,55.855,56.945,55.755001,56.869999,49.469254,3286200
10/17/2012,57.27,57.825001,56.785,57.619999,50.121662,2874200
10/18/2012,57.27,57.540001,56.869999,57.375,49.908535,2171600
10/19/2012,57.264999,57.724998,56.285,56.535,49.177845,3024000
10/22/2012,56.389999,56.470001,55.215,56.055,48.760315,3717400
10/23/2012,55.035,55.450001,54.514999,55.080002,47.912197,4001000
10/24/2012,55.439999,55.77,54.884998,55.349998,48.147057,3774200
10/25/2012,56.025002,56.220001,55.455002,56.209999,48.895145,2301600
10/26/2012,56.145,57.25,56.005001,57.044998,49.621483,4463600
10/31/2012,57.125,58.285,57.119999,58.244999,50.665329,4601800
11/1/2012,58.244999,59.299999,58.02,58.439999,50.834949,3662000
11/2/2012,58.884998,59.255001,57.345001,57.599998,50.104259,5006800
11/5/2012,57.275002,58.535,57.275002,58.404999,50.804501,4379000
11/6/2012,61.695,62.244999,60.650002,60.990002,53.053097,8548400
11/7/2012,60,60.474998,59.665001,60,52.191936,6031800
11/8/2012,59.935001,60.384998,57.855,57.884998,50.352161,4513600
11/9/2012,57.814999,58.384998,57.224998,57.259998,49.808495,4984600
11/12/2012,57.544998,57.799999,56.720001,57.380001,49.912888,2177600
11/13/2012,56.950001,58.57,56.845001,57.639999,50.139053,3884800
11/14/2012,57.689999,57.950001,56.5,56.68,49.303982,3100000
11/15/2012,56.720001,58.275002,56.66,58.080002,50.521797,4758000
11/16/2012,58.625,58.73,57.395,58.334999,50.743603,5257800
11/19/2012,59.105,60.400002,58.91,59.305,51.587372,3986000
11/20/2012,59.195,59.27,58.275002,58.700001,51.061096,2629400
11/21/2012,58.895,59.27,58.700001,59.07,51.38295,2230200
11/23/2012,59.25,59.575001,58.825001,59.494999,51.752655,1168800
11/26/2012,58.724998,58.915001,57.799999,58.325001,50.734901,2502400
11/27/2012,57.77,58.029999,57.220001,57.540001,50.052059,5118400
11/28/2012,57.044998,58.294998,56.360001,58.174999,50.604424,3223200
11/29/2012,58.799999,59.209999,58.404999,58.82,51.165489,2838000
11/30/2012,58.700001,59.205002,58.525002,58.810001,51.156792,2897200
12/3/2012,59.119999,59.549999,58.564999,58.619999,50.991528,2572400
12/4/2012,58.470001,59,58.345001,58.59,50.965424,1801400
12/5/2012,58.75,59.775002,58.669998,59.360001,51.635212,3441200
12/6/2012,59.145,59.375,58.5,59.18,51.478645,2416600
12/7/2012,59.355,59.355,58.465,58.674999,51.03936,2670400
12/10/2012,58.599998,58.93,58.285,58.865002,51.204647,2132400
12/11/2012,59.16,59.75,58.985001,59.365002,51.639565,2716000
12/12/2012,59.599998,60.685001,59.360001,60.369999,52.513783,3622600
12/13/2012,60.154999,60.325001,59.174999,59.255001,51.54388,3789200
12/14/2012,59.189999,59.900002,59.02,59.494999,51.752655,2401800
12/17/2012,59.695,60.490002,59.389999,60.485001,52.613811,2499600
12/18/2012,60.540001,62.125,60.5,61.959999,53.896854,3696200
12/19/2012,61.799999,62.009998,61.220001,61.224998,53.257519,3038800
12/20/2012,61.395,62.25,61.200001,62.185001,54.092587,3053600
12/21/2012,61.209999,62.080002,60.939999,61.785,53.744637,4666400
12/24/2012,61.555,62.099998,61.34,61.384998,53.396687,1560800
12/26/2012,61.57,61.575001,60.610001,60.775002,52.86607,2096400
12/27/2012,60.990002,61.075001,59.779999,60.814999,52.900875,3196600
12/28/2012,60.279999,60.465,59.25,59.305,51.587372,2196200
12/31/2012,59.055,60.490002,59,60.395,52.535526,3561800
1/2/2013,61.700001,61.84,60.720001,61.84,53.792484,3665200
